,Point,Pass,DontPass,betName,betAmt,Q,N
4278,9,0,15,place5,10,17.0,2
4279,8,0,15,place5,10,7.0,6
4280,10,0,15,bigRed,10,15.0,2
4281,9,15,0,hard10,10,42.5,4
4282,6,0,15,place10,10,13.0,3
4283,9,0,15,field,10,5.0,1
4284,8,15,0,field,10,0.0,2
4285,10,15,0,buy8,10,-6.0,7
4286,9,0,15,hard10,10,-3.5714285714285716,7
4287,5,0,15,anyCraps,10,5.0,2
4288,10,15,0,world,10,37.0,1
4289,6,15,0,lay10,10,-25.0,1
4290,6,0,15,world,10,11.666666666666666,3
4291,5,0,15,lay9,10,5.0,1
4292,5,0,15,lay8,10,5.0,1
4293,10,0,15,cAndE,10,5.0,1
4294,5,0,15,buy9,10,-5.0,3
4295,6,15,0,place5,10,-25.0,2
4296,4,0,15,place10,10,-5.0,3
4297,5,15,0,horn,10,-25.0,1
4298,6,15,0,field,10,5.0,1
4299,9,15,0,buy4,10,34.5,1
4300,8,0,15,lay6,10,-25.0,1
4301,5,15,0,world,10,-15.0,1
4302,8,15,0,bigRed,10,-25.0,1
4303,6,0,15,lay8,10,7.916666666666664,2
4304,5,15,0,buy4,10,5.0,1
4305,9,15,0,bigRed,10,-25.0,1
4306,10,15,0,horn,10,-25.0,1
4307,4,0,15,hard4,10,5.0,1
4308,10,15,0,field,10,-25.0,1
4309,8,15,0,lay5,10,-25.0,1
4310,10,15,0,lay5,10,-8.666666666666668,1
4311,6,15,0,place4,10,-25.0,1
4312,10,0,15,dontComeOdds,10,20.0,1
4313,8,15,0,buy4,10,34.0,1
4314,4,0,15,anyCraps,10,5.0,1
4315,10,0,15,world,10,5.0,1
4316,10,15,0,big6,10,5.0,1
4317,6,15,0,comeOdds,15,9.375,8
4318,8,0,15,dontPassOdds,15,17.916666666666668,6
4319,4,15,0,snakeeyes,15,-17.727272727272727,22
4320,8,15,0,hard6,15,-7.5,16
4321,6,15,0,hiLo,15,6.999999999999998,30
4322,8,0,15,boxcars,15,1.1842105263157905,38
4323,9,0,15,hiLo,15,-1.8750000000000004,16
4324,6,15,0,horn,15,-11.25,8
4325,6,0,15,dontComeOdds,15,-30.0,4
4326,10,15,0,hard6,15,-10.90909090909091,22
4327,4,15,0,hard6,15,15.000000000000004,18
4328,8,15,0,cAndE,15,24.545454545454547,11
