,Unnamed: 0,Point,Pass,DontPass,betName,betAmt,Q,N
4228,4228.0,8,15,0,place5,20,-15.0,3
4229,4229.0,5,15,0,cAndE,20,28.333333333333336,3
4230,4230.0,4,15,0,place8,20,1.1403508771929887,19
4231,4231.0,6,15,0,hard10,20,-15.0,6
4232,4232.0,5,15,0,place8,20,7.982456140350883,19
4233,4233.0,4,0,15,hiLo,20,11.666666666666673,12
4234,4234.0,6,15,0,buy6,20,1.4999999999999991,8
4235,4235.0,6,15,0,place9,20,-14.0,6
4236,4236.0,8,15,0,cAndE,20,-7.5,12
4237,4237.0,6,0,15,buy8,20,4.047619047619049,21
4238,4238.0,10,15,0,place5,20,-35.0,2
4239,4239.0,8,0,15,place9,20,-0.19999999999999973,5
4240,4240.0,9,15,0,passOdds,20,-8.333333333333334,15
4241,4241.0,9,0,15,horn,20,-26.428571428571427,7
4242,4242.0,9,15,0,comeOdds,20,-5.90909090909091,11
4243,4243.0,10,15,0,yoleven,20,-9.375,16
4244,4244.0,6,15,0,buy4,20,-20.0,2
4245,4245.0,5,15,0,big8,20,-2.1428571428571432,7
4246,4246.0,10,0,15,big6,20,-9.0,15
4247,4247.0,6,0,15,hard4,20,16.666666666666664,6
4248,4248.0,6,15,0,buy5,20,-19.42857142857143,7
4249,4249.0,8,15,0,buy4,20,14.666666666666668,3
4250,4250.0,5,0,15,horn,20,42.5,2
4251,4251.0,8,15,0,big6,20,32.77777777777778,9
4252,4252.0,5,0,15,dontPassOdds,20,15.666666666666664,5
4253,4253.0,4,15,0,place9,20,15.4,5
4254,4254.0,10,0,15,place5,20,-20.0,4
4255,4255.0,6,15,0,hard4,20,-15.0,6
4256,4256.0,8,0,15,place5,20,15.399999999999999,5
4257,4257.0,10,0,15,yoleven,20,-7.3076923076923075,13
4258,4258.0,5,15,0,big6,20,2.1428571428571423,7
4259,4259.0,4,0,15,place9,20,-3.9090909090909087,11
4260,4260.0,8,0,15,place4,20,1.4999999999999982,4
4261,4261.0,8,15,0,hard4,20,11.666666666666664,6
4262,4262.0,10,15,0,hiLo,20,-29.0,10
4263,4263.0,4,15,0,buy9,20,-22.75,4
4264,4264.0,5,15,0,lay8,20,-25.0,3
4265,4265.0,8,0,15,buy10,20,-5.249999999999999,4
4266,4266.0,8,0,15,world,20,23.5,4
4267,4267.0,10,0,15,hard4,20,7.72727272727273,11
4268,4268.0,8,0,15,hard4,20,-31.666666666666668,9
4269,4269.0,5,15,0,buy10,20,-20.0,2
4270,4270.0,10,15,0,buy9,20,-15.25,4
4271,4271.0,10,15,0,passOdds,20,-35.0,2
4272,4272.0,5,15,0,dontCome,20,0.0,2
4273,4273.0,6,15,0,world,20,-13.571428571428571,7
4274,4274.0,8,15,0,buy9,20,-12.428571428571427,7
4275,4275.0,5,0,15,world,20,-35.0,1
4276,4276.0,9,0,15,place4,20,-5.0,1
4277,4277.0,6,15,0,passOdds,20,2.0000000000000004,18
4278,4278.0,10,15,0,buy10,20,9.5,2
4279,4279.0,9,0,15,bigRed,20,-5.0,2
4280,4280.0,6,15,0,big6,20,-11.666666666666668,3
4281,4281.0,9,0,15,hard4,20,17.857142857142854,7
4282,4282.0,10,0,15,lay8,20,4.861111111111111,6
4283,4283.0,10,15,0,buy4,20,14.333333333333332,3
4284,4284.0,6,0,15,buy4,20,34.0,3
4285,4285.0,9,15,0,lay8,20,-20.0,2
4286,4286.0,9,0,15,world,20,-10.0,2
4287,4287.0,10,15,0,hard4,20,-15.0,3
4288,4288.0,6,15,0,come,20,-35.0,3
4289,4289.0,4,15,0,hard10,20,99.0,5
4290,4290.0,6,0,15,field,20,20.0,2
4291,4291.0,9,0,15,big6,20,20.714285714285715,7
4292,4292.0,4,15,0,lay6,20,0.8333333333333286,1
4293,4293.0,10,15,0,place10,20,51.0,1
4294,4294.0,6,15,0,buy10,20,-15.333333333333336,3
4295,4295.0,5,15,0,hard4,20,0.7142857142857126,7
4296,4296.0,9,15,0,place10,20,-35.0,2
4297,4297.0,4,0,15,hard4,20,-25.0,3
4298,4298.0,10,0,15,buy6,20,-1.789473684210526,19
4299,4299.0,5,0,15,big6,20,2.2727272727272734,11
4300,4300.0,5,0,15,bigRed,20,-35.0,4
4301,4301.0,9,0,15,dontPassOdds,20,-3.3333333333333357,2
4302,4302.0,9,0,15,buy5,20,6.333333333333333,6
4303,4303.0,5,15,0,buy4,20,-20.0,2
4304,4304.0,9,15,0,place5,20,-35.0,5
4305,4305.0,6,15,0,dontCome,20,5.0,2
4306,4306.0,6,0,15,world,20,-15.0,4
4307,4307.0,10,0,15,place9,20,-3.799999999999999,5
4308,4308.0,8,15,0,comeOdds,20,-2.1111111111111116,9
4309,4309.0,8,15,0,world,20,-5.0,1
4310,4310.0,6,15,0,field,20,8.333333333333336,3
4311,4311.0,6,0,15,anyCraps,20,-35.0,2
4312,4312.0,8,0,15,lay6,20,-3.055555555555557,3
4313,4313.0,9,0,15,cAndE,20,-20.0,4
4314,4314.0,10,0,15,hard10,20,-15.0,3
4315,4315.0,8,0,15,anyCraps,20,-35.0,2
4316,4316.0,9,0,15,lay8,20,51.66666666666666,2
4317,4317.0,4,15,0,place10,20,-5.0,1
4318,4318.0,5,0,15,lay8,20,-5.0,2
4319,4319.0,10,0,15,horn,20,20.0,2
4320,4320.0,4,0,15,cAndE,20,-5.0,1
4321,4321.0,10,0,15,buy4,20,4.666666666666664,3
4322,4322.0,6,0,15,place4,20,77.0,1
4323,4323.0,9,0,15,buy4,20,-5.5,2
4324,4324.0,5,15,0,world,20,27.0,2
4325,4325.0,8,15,0,hard10,20,-29.0,5
4326,4326.0,4,15,0,buy10,20,-5.0,1
4327,4327.0,8,15,0,place9,20,-35.0,3
4328,4328.0,9,0,15,lay6,20,12.916666666666664,2
4329,4329.0,10,0,15,bigRed,20,95.0,1
4330,4330.0,5,15,0,horn,20,5.0,2
4331,4331.0,6,0,15,lay8,20,-35.0,1
4332,4332.0,10,15,0,hard10,20,-35.0,4
4333,4333.0,6,0,15,place10,20,107.0,1
4334,4334.0,4,15,0,hard4,20,48.33333333333333,3
4335,4335.0,8,15,0,bigRed,20,65.0,1
4336,4336.0,4,0,15,field,20,-5.0,1
4337,4337.0,8,15,0,come,20,-35.0,1
4338,4338.0,9,15,0,dontCome,20,0.0,6
4339,4339.0,4,15,0,comeOdds,20,-35.0,2
4340,4340.0,5,15,0,place4,20,-20.0,2
4341,4341.0,10,0,15,buy6,25,6.607142857142858,14
4342,4342.0,10,15,0,snakeeyes,25,15.294117647058822,34
4343,4343.0,6,15,0,hard6,25,-16.11111111111111,36
4344,4344.0,8,0,15,hard8,25,-6.333333333333335,30
